question_id,category,difficulty,dims_parsed,routing_choice,raw_response,declared_CE,declared_ER,declared_CI,declared_EM,declared_PI,declared_activation,routing_score
gpqa_046,organic_chemistry,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_049,high-energy_particle_physics,0.875,5,DELIBERATE,"```json
{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",3,1,4,3,1,0.3333,0.7
gpqa_052,chemistry_(general),0.875,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_053,organic_chemistry,0.875,5,ANSWER,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,4,4,4,1,0.4,0.0
gpqa_054,chemistry_(general),0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_055,quantum_mechanics,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_057,high-energy_particle_physics,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_059,relativistic_mechanics,0.8889,5,DELIBERATE,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",4,1,4,4,1,0.2,0.7
gpqa_061,organic_chemistry,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_064,organic_chemistry,0.75,5,DELIBERATE,"```json
{""CE"": 3, ""ER"": 1, ""CI"": 2, ""EM"": 4, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",3,1,2,4,1,0.1333,0.7
gpqa_065,high-energy_particle_physics,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_069,chemistry_(general),0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_073,physics_(general),0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_074,molecular_biology,0.4444,5,ANSWER,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,4,4,4,1,0.4,1.0
gpqa_075,molecular_biology,0.8889,5,DELIBERATE,"```json
{""CE"": 2, ""ER"": 4, ""CI"": 3, ""EM"": 2, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",2,4,3,2,1,0.6,0.7
