task_slug,model,leaderboard_score,platform_score,completed_mean,diff_vs_platform,n_rows_csv,completion,budget_failure,other_failure
t01-msv_delegate_game,gpt-5.4-mini-2026-03-17,0.5375,0.5375,0.5375,0.0,80,80/80,False,
t01-msv_delegate_game,gpt-5.4-nano-2026-03-17,0.4931,0.4931,0.4931,0.0,80,80/80,False,
t01-msv_delegate_game,gpt-oss-20b,0.5663,0.5663,0.5663,0.0,80,80/80,False,
t01-msv_delegate_game,qwen3-235b-a22b-instruct-2507,0.6219,0.6219,0.6219,0.0,80,80/80,False,
t01-msv_delegate_game,qwen3-coder-480b-a35b-instruct,0.5375,0.5375,0.5375,0.0,80,80/80,False,
t01-msv_delegate_game,qwen3-next-80b-a3b-instruct,0.45,0.45,0.45,0.0,80,80/80,False,
t01-msv_delegate_game,qwen3-next-80b-a3b-thinking,0.0875,0.0875,0.7778,0.0,9,9/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t02-msv_declared_probe,claude-haiku-4-5-20251001,0.559,0.559,,0.0,80,80/80,False,
t02-msv_declared_probe,claude-opus-4-1-20250805,0.5055,0.5055,,0.0,54,54/80,True,
t02-msv_declared_probe,claude-opus-4-6-default,0.5198,0.5198,,0.0,59,59/80,True,
t02-msv_declared_probe,deepseek-r1-0528,0.117,0.117,,0.0,32,32/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t02-msv_declared_probe,deepseek-v3.2,0.3938,0.3938,,0.0,45,45/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t02-msv_declared_probe,gemini-2.0-flash-lite-001,0.7975,0.7975,,0.0,80,80/80,False,
t02-msv_declared_probe,gemini-2.5-flash,0.015,0.015,,0.0,47,47/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t02-msv_declared_probe,gemini-3.1-pro-preview,0.2275,0.2275,,0.0,32,32/80,True,
t02-msv_declared_probe,gemma-3-12b-it,0.4095,0.4095,,0.0,59,59/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32895) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t02-msv_declared_probe,gemma-3-1b-it,0.214,0.214,,0.0,59,59/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32842) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t02-msv_declared_probe,gemma-3-27b-it,0.4075,0.4075,,0.0,80,80/80,False,
t02-msv_declared_probe,gemma-3-4b-it,0.2435,0.2435,,0.0,59,59/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32843) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t02-msv_declared_probe,gemma-4-26b-a4b-it,0.0075,0.0075,,0.0,25,25/80,False,[prompt failure] APITimeoutError: Request timed out.
t02-msv_declared_probe,gemma-4-31b-it,0.087,0.087,,0.0,29,29/80,True,
t02-msv_declared_probe,glm-5,0.2475,0.2475,,0.0,80,80/80,False,
t02-msv_declared_probe,gpt-5.4-2026-03-05,0.548,0.548,,0.0,80,80/80,False,
t02-msv_declared_probe,gpt-5.4-mini-2026-03-17,0.4288,0.4288,,0.0,80,80/80,False,
t02-msv_declared_probe,gpt-5.4-nano-2026-03-17,0.6978,0.6978,,0.0,80,80/80,False,
t02-msv_declared_probe,gpt-oss-20b,0.2755,0.2755,,0.0,80,80/80,False,
t02-msv_declared_probe,qwen3-235b-a22b-instruct-2507,0.6708,0.6708,,0.0,80,80/80,False,
t02-msv_declared_probe,qwen3-coder-480b-a35b-instruct,0.8695,0.8695,,0.0,80,80/80,False,
t02-msv_declared_probe,qwen3-next-80b-a3b-instruct,0.386,0.386,,0.0,80,80/80,False,
t02-msv_declared_probe,qwen3-next-80b-a3b-thinking,0.2075,0.2075,,0.0,80,80/80,False,
t03-msv_second_chance,claude-haiku-4-5-20251001,0.5513,0.5513,0.5513,0.0,80,80/80,False,
t03-msv_second_chance,claude-opus-4-1-20250805,0.4387,0.4387,0.6382,0.0,55,55/80,True,
t03-msv_second_chance,claude-opus-4-6-default,0.775,0.775,0.8493,0.0,73,73/80,True,
t03-msv_second_chance,deepseek-r1-0528,0.325,0.325,0.9286,0.0,28,28/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t03-msv_second_chance,deepseek-v3.2,0.1,0.1,0.4444,0.0,18,18/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t03-msv_second_chance,gemini-2.0-flash-lite-001,0.4875,0.4875,0.4875,0.0,80,80/80,False,
t03-msv_second_chance,gemini-2.5-flash,0.3306,0.3306,0.575,0.0,46,46/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t03-msv_second_chance,gemini-3.1-pro-preview,0.8269,0.8269,0.8269,0.0,80,80/80,False,
t03-msv_second_chance,gemma-3-12b-it,0.0375,0.0375,0.5,0.0,6,6/80,True,
t03-msv_second_chance,gemma-3-1b-it,0.3125,0.3125,0.3333,0.0,75,75/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32863) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t03-msv_second_chance,gemma-3-27b-it,0.4625,0.4625,0.4625,0.0,80,80/80,False,
t03-msv_second_chance,gemma-3-4b-it,0.3263,0.3263,0.3575,0.0,73,73/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32894) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t03-msv_second_chance,gemma-4-26b-a4b-it,0.325,0.325,1.0,0.0,26,26/80,False,[prompt failure] APITimeoutError: Request timed out.
t03-msv_second_chance,gemma-4-31b-it,0.125,0.125,1.0,0.0,10,10/80,True,
t03-msv_second_chance,glm-5,0.275,0.275,0.8462,0.0,26,26/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t03-msv_second_chance,gpt-5.4-2026-03-05,0.4031,0.4031,0.4031,0.0,80,80/80,False,
t03-msv_second_chance,gpt-5.4-mini-2026-03-17,0.375,0.375,0.375,0.0,80,80/80,False,
t03-msv_second_chance,gpt-5.4-nano-2026-03-17,0.2931,0.2931,0.2931,0.0,80,80/80,False,
t03-msv_second_chance,gpt-oss-20b,0.3425,0.3425,0.6227,0.0,44,44/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t03-msv_second_chance,qwen3-235b-a22b-instruct-2507,0.525,0.525,0.525,0.0,80,80/80,False,
t03-msv_second_chance,qwen3-coder-480b-a35b-instruct,0.4175,0.4175,0.4175,0.0,80,80/80,False,
t03-msv_second_chance,qwen3-next-80b-a3b-instruct,0.45,0.45,0.45,0.0,80,80/80,False,
t03-msv_second_chance,qwen3-next-80b-a3b-thinking,0.6375,0.6375,0.6375,0.0,80,80/80,False,
t04-msv_confidence_entropy,claude-haiku-4-5-20251001,0.8182,0.8182,0.8182,0.0,80,80/80,False,
t04-msv_confidence_entropy,claude-opus-4-1-20250805,0.8002,0.8002,0.8002,0.0,80,80/80,False,
t04-msv_confidence_entropy,claude-opus-4-6-default,0.2021,0.2021,0.7031,0.0,23,23/80,True,
t04-msv_confidence_entropy,deepseek-r1-0528,0.3553,0.3553,0.7288,0.0,39,39/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t04-msv_confidence_entropy,deepseek-v3.2,0.7308,0.7308,0.7308,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemini-2.0-flash-lite-001,0.7503,0.7503,0.7503,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemini-2.5-flash,0.1772,0.1772,0.5453,0.0,26,26/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t04-msv_confidence_entropy,gemini-3.1-pro-preview,0.1801,0.1801,0.335,0.0,43,43/80,True,
t04-msv_confidence_entropy,gemma-3-12b-it,0.7379,0.7379,0.7379,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemma-3-1b-it,0.7279,0.7279,0.7279,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemma-3-27b-it,0.6912,0.6912,0.6912,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemma-3-4b-it,0.5343,0.5343,0.5343,0.0,80,80/80,False,
t04-msv_confidence_entropy,gemma-4-26b-a4b-it,0.2258,0.2258,0.3061,0.0,59,59/80,False,[prompt failure] APITimeoutError: Request timed out.
t04-msv_confidence_entropy,gemma-4-31b-it,0.1247,0.1247,0.3439,0.0,29,29/80,True,
t04-msv_confidence_entropy,glm-5,0.2042,0.2042,0.3984,0.0,41,41/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t04-msv_confidence_entropy,gpt-5.4-2026-03-05,0.5425,0.5425,0.5425,0.0,80,80/80,False,
t04-msv_confidence_entropy,gpt-5.4-mini-2026-03-17,0.7286,0.7286,0.7286,0.0,80,80/80,False,
t04-msv_confidence_entropy,gpt-5.4-nano-2026-03-17,0.7245,0.7245,0.7245,0.0,80,80/80,False,
t04-msv_confidence_entropy,gpt-oss-20b,0.6911,0.6911,0.6911,0.0,80,80/80,False,
t04-msv_confidence_entropy,qwen3-235b-a22b-instruct-2507,0.8111,0.8111,0.8111,0.0,80,80/80,False,
t04-msv_confidence_entropy,qwen3-coder-480b-a35b-instruct,0.7529,0.7529,0.7529,0.0,80,80/80,False,
t04-msv_confidence_entropy,qwen3-next-80b-a3b-instruct,0.7754,0.7754,0.7754,0.0,80,80/80,False,
t04-msv_confidence_entropy,qwen3-next-80b-a3b-thinking,0.5153,0.5153,0.6153,0.0,67,67/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t05-msv_teammate_delegate,claude-haiku-4-5-20251001,0.64,0.64,0.64,0.0,80,80/80,False,
t05-msv_teammate_delegate,claude-opus-4-1-20250805,0.6694,0.6694,0.6694,0.0,80,80/80,False,
t05-msv_teammate_delegate,claude-opus-4-6-default,0.7369,0.7369,0.7369,0.0,80,80/80,False,
t05-msv_teammate_delegate,deepseek-r1-0528,0.3662,0.3662,0.7513,0.0,39,39/80,True,
t05-msv_teammate_delegate,deepseek-v3.2,0.8125,0.8125,0.8125,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemini-2.0-flash-lite-001,0.55,0.55,0.55,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemini-2.5-flash,0.1656,0.1656,0.3897,0.0,34,34/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t05-msv_teammate_delegate,gemini-3.1-pro-preview,0.9212,0.9212,0.9212,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemma-3-12b-it,0.4062,0.4062,0.4062,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemma-3-1b-it,0.2275,0.2275,0.2275,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemma-3-27b-it,0.6638,0.6638,0.6638,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemma-3-4b-it,0.3625,0.3625,0.3625,0.0,80,80/80,False,
t05-msv_teammate_delegate,gemma-4-26b-a4b-it,0.4625,0.4625,0.9487,0.0,39,39/80,False,[prompt failure] APITimeoutError: Request timed out.
t05-msv_teammate_delegate,gemma-4-31b-it,0.3875,0.3875,0.9688,0.0,32,32/80,True,
t05-msv_teammate_delegate,glm-5,0.125,0.125,0.7692,0.0,13,13/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t05-msv_teammate_delegate,gpt-5.4-2026-03-05,0.6206,0.6206,0.6206,0.0,80,80/80,False,
t05-msv_teammate_delegate,gpt-5.4-mini-2026-03-17,0.5,0.5,0.5,0.0,80,80/80,False,
t05-msv_teammate_delegate,gpt-5.4-nano-2026-03-17,0.4662,0.4662,0.4662,0.0,80,80/80,False,
t05-msv_teammate_delegate,gpt-oss-20b,0.7013,0.7013,0.7013,0.0,80,80/80,False,
t05-msv_teammate_delegate,qwen3-235b-a22b-instruct-2507,0.5875,0.5875,0.5875,0.0,80,80/80,False,
t05-msv_teammate_delegate,qwen3-coder-480b-a35b-instruct,0.6825,0.6825,0.6825,0.0,80,80/80,False,
t05-msv_teammate_delegate,qwen3-next-80b-a3b-instruct,0.475,0.475,0.475,0.0,80,80/80,False,
t05-msv_teammate_delegate,qwen3-next-80b-a3b-thinking,0.7125,0.7125,0.7125,0.0,80,80/80,False,
t06-msv_behavioral_er,claude-haiku-4-5-20251001,1.0,1.0,,0.0,80,80/80,False,
t06-msv_behavioral_er,claude-opus-4-1-20250805,0.3542,0.3542,,0.0,30,30/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t06-msv_behavioral_er,claude-opus-4-6-default,0.9946,0.9946,,0.0,80,80/80,False,
t06-msv_behavioral_er,deepseek-r1-0528,0.15,0.15,,0.0,12,12/80,True,
t06-msv_behavioral_er,deepseek-v3.2,0.9821,0.9821,,0.0,80,80/80,False,
t06-msv_behavioral_er,gemini-2.0-flash-lite-001,1.0,1.0,,0.0,80,80/80,False,
t06-msv_behavioral_er,gemini-2.5-flash,0.272,0.272,,0.0,25,25/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t06-msv_behavioral_er,gemini-3.1-pro-preview,0.275,0.275,,0.0,22,22/80,True,
t06-msv_behavioral_er,gemma-3-12b-it,0.6875,0.6875,,0.0,55,55/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32873) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t06-msv_behavioral_er,gemma-3-1b-it,0.6946,0.6946,,0.0,56,56/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33029) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t06-msv_behavioral_er,gemma-3-27b-it,1.0,1.0,,0.0,80,80/80,False,
t06-msv_behavioral_er,gemma-3-4b-it,0.6798,0.6798,,0.0,55,55/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32873) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t06-msv_behavioral_er,gemma-4-26b-a4b-it,0.0625,0.0625,,0.0,5,5/80,True,
t06-msv_behavioral_er,gemma-4-31b-it,0.1696,0.1696,,0.0,14,14/80,True,
t06-msv_behavioral_er,glm-5,0.0875,0.0875,,0.0,7,7/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t06-msv_behavioral_er,gpt-5.4-2026-03-05,1.0,1.0,,0.0,80,80/80,False,
t06-msv_behavioral_er,gpt-5.4-mini-2026-03-17,0.9839,0.9839,,0.0,80,80/80,False,
t06-msv_behavioral_er,gpt-5.4-nano-2026-03-17,0.7792,0.7792,,0.0,80,80/80,False,
t06-msv_behavioral_er,gpt-oss-20b,0.8524,0.8524,,0.0,80,80/80,False,
t06-msv_behavioral_er,qwen3-235b-a22b-instruct-2507,1.0,1.0,,0.0,80,80/80,False,
t06-msv_behavioral_er,qwen3-coder-480b-a35b-instruct,0.9923,0.9923,,0.0,80,80/80,False,
t06-msv_behavioral_er,qwen3-next-80b-a3b-instruct,0.9938,0.9938,,0.0,80,80/80,False,
t06-msv_behavioral_er,qwen3-next-80b-a3b-thinking,0.1696,0.1696,,0.0,14,14/80,True,
t07-msv_behavioral_ci,claude-haiku-4-5-20251001,1.0,1.0,1.0,0.0,80,80/80,False,
t07-msv_behavioral_ci,claude-opus-4-1-20250805,0.6,0.6,0.6,0.0,80,80/80,False,
t07-msv_behavioral_ci,claude-opus-4-6-default,0.525,0.525,0.6562,0.0,64,64/80,True,
t07-msv_behavioral_ci,deepseek-r1-0528,0.02,0.02,0.0552,0.0,29,29/80,True,
t07-msv_behavioral_ci,deepseek-v3.2,0.095,0.095,0.095,0.0,80,80/80,False,
t07-msv_behavioral_ci,gemini-2.0-flash-lite-001,0.0,,0.0,,80,80/80,False,
t07-msv_behavioral_ci,gemini-2.5-flash,0.5775,0.5775,0.5775,0.0,80,80/80,False,
t07-msv_behavioral_ci,gemini-3.1-pro-preview,0.1125,0.1125,0.1125,0.0,80,80/80,False,
t07-msv_behavioral_ci,gemma-3-12b-it,0.9125,0.9125,1.0,0.0,73,73/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33032) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t07-msv_behavioral_ci,gemma-3-1b-it,0.5625,0.5625,0.6338,0.0,71,71/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33069) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t07-msv_behavioral_ci,gemma-3-27b-it,0.5775,0.5775,0.5775,0.0,80,80/80,False,
t07-msv_behavioral_ci,gemma-3-4b-it,0.0075,0.0075,0.0075,0.0,80,80/80,False,
t07-msv_behavioral_ci,gemma-4-26b-a4b-it,0.0,,0.0,,44,44/80,False,[prompt failure] APITimeoutError: Request timed out.
t07-msv_behavioral_ci,gemma-4-31b-it,0.0125,0.0125,0.0312,0.0,32,32/80,True,
t07-msv_behavioral_ci,glm-5,0.2575,0.2575,0.2575,0.0,80,80/80,False,
t07-msv_behavioral_ci,gpt-5.4-2026-03-05,0.85,0.85,0.85,0.0,80,80/80,False,
t07-msv_behavioral_ci,gpt-5.4-mini-2026-03-17,0.0125,0.0125,0.0125,0.0,80,80/80,False,
t07-msv_behavioral_ci,gpt-5.4-nano-2026-03-17,0.3375,0.3375,0.3375,0.0,80,80/80,False,
t07-msv_behavioral_ci,gpt-oss-20b,0.4875,0.4875,0.4875,0.0,80,80/80,False,
t07-msv_behavioral_ci,qwen3-235b-a22b-instruct-2507,0.68,0.68,0.68,0.0,80,80/80,False,
t07-msv_behavioral_ci,qwen3-coder-480b-a35b-instruct,0.9375,0.9375,0.9375,0.0,80,80/80,False,
t07-msv_behavioral_ci,qwen3-next-80b-a3b-instruct,0.99,0.99,0.99,0.0,80,80/80,False,
t07-msv_behavioral_ci,qwen3-next-80b-a3b-thinking,0.125,0.125,0.625,0.0,16,16/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t08-msv_behavioral_em,claude-haiku-4-5-20251001,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,claude-opus-4-1-20250805,0.3513,0.3513,,0.0,27,27/37,True,
t08-msv_behavioral_em,claude-opus-4-6-default,0.0811,0.0811,,0.0,6,6/37,True,
t08-msv_behavioral_em,deepseek-r1-0528,0.1081,0.1081,,0.0,8,8/37,True,
t08-msv_behavioral_em,deepseek-v3.2,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemini-2.0-flash-lite-001,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemini-2.5-flash,0.2387,0.2387,,0.0,17,17/37,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t08-msv_behavioral_em,gemini-3.1-pro-preview,0.027,0.027,,0.0,2,2/37,True,
t08-msv_behavioral_em,gemma-3-12b-it,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemma-3-1b-it,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemma-3-27b-it,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemma-3-4b-it,0.4955,0.4955,,0.0,37,37/37,False,
t08-msv_behavioral_em,gemma-4-26b-a4b-it,0.1892,0.1892,,0.0,14,14/37,False,[prompt failure] APITimeoutError: Request timed out.
t08-msv_behavioral_em,gemma-4-31b-it,0.2027,0.2027,,0.0,15,15/37,True,
t08-msv_behavioral_em,glm-5,0.1892,0.1892,,0.0,14,14/37,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t08-msv_behavioral_em,gpt-5.4-2026-03-05,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gpt-5.4-mini-2026-03-17,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gpt-5.4-nano-2026-03-17,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,gpt-oss-20b,0.509,0.509,,0.0,37,37/37,False,
t08-msv_behavioral_em,qwen3-235b-a22b-instruct-2507,0.4955,0.4955,,0.0,37,37/37,False,
t08-msv_behavioral_em,qwen3-coder-480b-a35b-instruct,0.4955,0.4955,,0.0,37,37/37,False,
t08-msv_behavioral_em,qwen3-next-80b-a3b-instruct,0.5,0.5,,0.0,37,37/37,False,
t08-msv_behavioral_em,qwen3-next-80b-a3b-thinking,0.2387,0.2387,,0.0,18,18/37,True,
t09-msv_behavioral_pi,claude-haiku-4-5-20251001,0.9825,0.9825,0.9825,0.0,80,80/80,False,
t09-msv_behavioral_pi,claude-opus-4-1-20250805,0.325,0.325,1.0,0.0,26,26/80,True,
t09-msv_behavioral_pi,claude-opus-4-6-default,0.33,0.33,0.6769,0.0,39,39/80,True,
t09-msv_behavioral_pi,deepseek-r1-0528,0.0425,0.0425,0.3778,0.0,9,9/80,True,
t09-msv_behavioral_pi,deepseek-v3.2,1.0,1.0,1.0,0.0,80,80/80,False,
t09-msv_behavioral_pi,gemini-2.0-flash-lite-001,0.605,0.605,0.605,0.0,80,80/80,False,
t09-msv_behavioral_pi,gemini-2.5-flash,0.1237,0.1237,0.3,0.0,33,33/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t09-msv_behavioral_pi,gemini-3.1-pro-preview,0.1013,0.1013,0.324,0.0,25,25/80,True,
t09-msv_behavioral_pi,gemma-3-12b-it,0.0125,0.0125,1.0,0.0,1,1/80,True,
t09-msv_behavioral_pi,gemma-3-1b-it,0.1875,0.1875,0.3,0.0,50,50/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32976) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t09-msv_behavioral_pi,gemma-3-27b-it,0.95,0.95,0.95,0.0,80,80/80,False,
t09-msv_behavioral_pi,gemma-3-4b-it,0.1875,0.1875,0.3,0.0,50,50/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (32955) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
t09-msv_behavioral_pi,gemma-4-26b-a4b-it,0.0938,0.0938,0.3,0.0,25,25/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t09-msv_behavioral_pi,gemma-4-31b-it,0.0412,0.0412,0.3,0.0,11,11/80,True,
t09-msv_behavioral_pi,glm-5,0.0412,0.0412,0.3,0.0,11,11/80,True,
t09-msv_behavioral_pi,gpt-5.4-2026-03-05,0.95,0.95,0.95,0.0,80,80/80,False,
t09-msv_behavioral_pi,gpt-5.4-mini-2026-03-17,0.2962,0.2962,0.2962,0.0,80,80/80,False,
t09-msv_behavioral_pi,gpt-5.4-nano-2026-03-17,0.2825,0.2825,0.2825,0.0,80,80/80,False,
t09-msv_behavioral_pi,gpt-oss-20b,0.2975,0.2975,0.2975,0.0,80,80/80,False,
t09-msv_behavioral_pi,qwen3-235b-a22b-instruct-2507,0.9375,0.9375,1.0,0.0,75,75/80,True,
t09-msv_behavioral_pi,qwen3-coder-480b-a35b-instruct,0.33,0.33,0.33,0.0,80,80/80,False,
t09-msv_behavioral_pi,qwen3-next-80b-a3b-instruct,0.2388,0.2388,0.3032,0.0,63,63/80,True,
t09-msv_behavioral_pi,qwen3-next-80b-a3b-thinking,0.1613,0.1613,0.3,0.0,43,43/80,True,
t10-msv_dpp_sequence,claude-haiku-4-5-20251001,0.0656,0.0656,0.525,0.0,10,10/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': '{""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""prompt is too long: 200460 tokens > 200000 maximum""},""request_id"":""r"
t10-msv_dpp_sequence,claude-opus-4-1-20250805,0.0981,0.0981,0.7136,0.0,11,11/80,True,
t10-msv_dpp_sequence,claude-opus-4-6-default,0.0675,0.0675,0.9,0.0,6,6/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t10-msv_dpp_sequence,deepseek-r1-0528,0.0481,0.0481,0.6417,0.0,6,6/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,deepseek-v3.2,0.0231,0.0231,0.925,0.0,2,2/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemini-2.0-flash-lite-001,0.3031,0.3031,0.4409,0.0,55,55/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (1057458) exceeds the maximum number of tokens allowed (1048575).', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemini-2.5-flash,0.1569,0.1569,0.8367,0.0,15,15/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t10-msv_dpp_sequence,gemini-3.1-pro-preview,0.2706,0.2706,0.866,0.0,25,25/80,True,
t10-msv_dpp_sequence,gemma-3-12b-it,0.0213,0.0213,0.425,0.0,4,4/80,False,"[prompt failure] BadRequestError: Error code: 400 - {'message': 'The input token count (33720) exceeds the maximum number of tokens allowed (32768).', 'type': 'invalid_request_error'}"
