model,provider,task_id,task_name,n_requests,n_expected,completion_rate,run_file_path,is_reasoning,csv_file_path
claude-haiku-4-5-20251001,anthropic,t11,mc_binary_pairs,160,160,1.0,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_claude-haiku-4-5-20251001.csv
claude-opus-4-1-20250805,anthropic,t01,delegate_game,80,80,1.0,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t01_delegate_game_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t02,declared_probe,54,80,0.675,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t02_declared_probe_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t03,second_chance,111,80,1.3875,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t03_second_chance_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t04_confidence_entropy_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t05_teammate_delegate_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t06,behavioral_er,61,80,0.7625,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t06_behavioral_er_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t07_behavioral_ci_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t08,behavioral_em,55,80,0.6875,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t08_behavioral_em_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t09,behavioral_pi,52,80,0.65,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t09_behavioral_pi_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t10,dpp_sequence,57,80,0.7125,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t10_dpp_sequence_results_claude-opus-4-1-20250805.csv
claude-opus-4-1-20250805,anthropic,t11,mc_binary_pairs,63,160,0.3937,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_anthropic_claude-opus-4-1-20250805.run.json,True,data/kaggle_csvs/t11_mc_binary_pairs_results_claude-opus-4-1-20250805.csv
claude-opus-4-6-default,anthropic,t01,delegate_game,26,80,0.325,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t01_delegate_game_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t02,declared_probe,59,80,0.7375,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t02_declared_probe_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t03,second_chance,146,80,1.825,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t03_second_chance_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t04,confidence_entropy,23,80,0.2875,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t06,behavioral_er,160,80,2.0,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t07,behavioral_ci,64,80,0.8,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t08,behavioral_em,12,80,0.15,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t09,behavioral_pi,79,80,0.9875,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t10,dpp_sequence,31,80,0.3875,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_claude-opus-4-6-default.csv
claude-opus-4-6-default,anthropic,t11,mc_binary_pairs,34,160,0.2125,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_anthropic_claude-opus-4-6-default.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_claude-opus-4-6-default.csv
deepseek-r1-0528,deepseek-ai,t01,delegate_game,2,80,0.025,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t01_delegate_game_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t02,declared_probe,32,80,0.4,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t02_declared_probe_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t03,second_chance,57,80,0.7125,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t03_second_chance_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t04,confidence_entropy,39,80,0.4875,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t04_confidence_entropy_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t05,teammate_delegate,39,80,0.4875,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t05_teammate_delegate_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t06,behavioral_er,24,80,0.3,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t06_behavioral_er_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t07,behavioral_ci,29,80,0.3625,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t07_behavioral_ci_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t08,behavioral_em,16,80,0.2,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t08_behavioral_em_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t09,behavioral_pi,19,80,0.2375,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t09_behavioral_pi_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t10,dpp_sequence,34,80,0.425,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t10_dpp_sequence_results_deepseek-r1-0528.csv
deepseek-r1-0528,deepseek-ai,t11,mc_binary_pairs,23,160,0.1437,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_deepseek-ai_deepseek-r1-0528.run.json,True,data/kaggle_csvs/t11_mc_binary_pairs_results_deepseek-r1-0528.csv
deepseek-v3.2,deepseek-ai,t01,delegate_game,19,80,0.2375,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t01_delegate_game_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t02,declared_probe,45,80,0.5625,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t02_declared_probe_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t03,second_chance,36,80,0.45,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t03_second_chance_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t06,behavioral_er,160,80,2.0,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t08,behavioral_em,74,80,0.925,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t09,behavioral_pi,160,80,2.0,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t10,dpp_sequence,10,80,0.125,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_deepseek-v3.2.csv
deepseek-v3.2,deepseek-ai,t11,mc_binary_pairs,160,160,1.0,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_deepseek-ai_deepseek-v3.2.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_deepseek-v3.2.csv
gemini-2.0-flash-lite-001,google,t01,delegate_game,80,80,1.0,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t01_delegate_game_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t02,declared_probe,80,80,1.0,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t02_declared_probe_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t03,second_chance,160,80,2.0,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t03_second_chance_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t06,behavioral_er,160,80,2.0,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t08,behavioral_em,74,80,0.925,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t09,behavioral_pi,160,80,2.0,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t10,dpp_sequence,276,80,3.45,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_gemini-2.0-flash-lite-001.csv
gemini-2.0-flash-lite-001,google,t11,mc_binary_pairs,160,160,1.0,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_google_gemini-2.0-flash-lite-001.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_gemini-2.0-flash-lite-001.csv
gemini-2.5-flash,google,t01,delegate_game,70,80,0.875,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t01_delegate_game_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t02,declared_probe,47,80,0.5875,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t02_declared_probe_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t03,second_chance,93,80,1.1625,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t03_second_chance_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t04,confidence_entropy,26,80,0.325,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t04_confidence_entropy_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t05,teammate_delegate,34,80,0.425,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t05_teammate_delegate_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t06,behavioral_er,51,80,0.6375,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t06_behavioral_er_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t07_behavioral_ci_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t08,behavioral_em,35,80,0.4375,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t08_behavioral_em_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t09,behavioral_pi,67,80,0.8375,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t09_behavioral_pi_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t10,dpp_sequence,78,80,0.975,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t10_dpp_sequence_results_gemini-2.5-flash.csv
gemini-2.5-flash,google,t11,mc_binary_pairs,84,160,0.525,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_google_gemini-2.5-flash.run.json,True,data/kaggle_csvs/t11_mc_binary_pairs_results_gemini-2.5-flash.csv
gemini-3.1-pro-preview,google,t01,delegate_game,74,80,0.925,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t01_delegate_game_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t02,declared_probe,32,80,0.4,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t02_declared_probe_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t03,second_chance,156,80,1.95,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t03_second_chance_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t04,confidence_entropy,43,80,0.5375,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t06,behavioral_er,44,80,0.55,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t08,behavioral_em,5,80,0.0625,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t09,behavioral_pi,50,80,0.625,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t10,dpp_sequence,129,80,1.6125,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_gemini-3.1-pro-preview.csv
gemini-3.1-pro-preview,google,t11,mc_binary_pairs,63,160,0.3937,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_google_gemini-3.1-pro-preview.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_gemini-3.1-pro-preview.csv
gemma-3-12b-it,google,t01,delegate_game,80,80,1.0,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t01_delegate_game_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t02,declared_probe,59,80,0.7375,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t02_declared_probe_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t03,second_chance,12,80,0.15,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t03_second_chance_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t06,behavioral_er,111,80,1.3875,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t07,behavioral_ci,73,80,0.9125,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t08,behavioral_em,74,80,0.925,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t09,behavioral_pi,3,80,0.0375,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t10,dpp_sequence,21,80,0.2625,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_gemma-3-12b-it.csv
gemma-3-12b-it,google,t11,mc_binary_pairs,124,160,0.775,data/kaggle_runs/t11-msv_mc_binary_pairs-run_id_Run_1_google_gemma-3-12b-it.run.json,False,data/kaggle_csvs/t11_mc_binary_pairs_results_gemma-3-12b-it.csv
gemma-3-1b-it,google,t01,delegate_game,80,80,1.0,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t01_delegate_game_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t02,declared_probe,59,80,0.7375,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t02_declared_probe_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t03,second_chance,150,80,1.875,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t03_second_chance_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t06,behavioral_er,113,80,1.4125,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t07,behavioral_ci,71,80,0.8875,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_gemma-3-1b-it.csv
gemma-3-1b-it,google,t08,behavioral_em,74,80,0.925,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_google_gemma-3-1b-it.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_gemma-3-1b-it.csv
