question_id,difficulty,n_models_attempted,category
gpqa_023,0.8889,9,organic_chemistry
gpqa_026,0.8889,9,molecular_biology
gpqa_046,0.8889,9,organic_chemistry
gpqa_025,0.8889,9,organic_chemistry
gpqa_069,0.8889,9,chemistry_(general)
gpqa_055,0.8889,9,quantum_mechanics
gpqa_042,0.8889,9,organic_chemistry
gpqa_059,0.8889,9,relativistic_mechanics
gpqa_009,0.8889,9,astrophysics
gpqa_084,0.8889,9,astrophysics
gpqa_134,0.8889,9,high-energy_particle_physics
gpqa_137,0.8889,9,chemistry_(general)
gpqa_149,0.8889,9,organic_chemistry
gpqa_148,0.8889,9,chemistry_(general)
gpqa_188,0.8889,9,high-energy_particle_physics
gpqa_165,0.8889,9,high-energy_particle_physics
gpqa_078,0.8889,9,organic_chemistry
gpqa_075,0.8889,9,molecular_biology
gpqa_076,0.8889,9,organic_chemistry
gpqa_088,0.8889,9,organic_chemistry
gpqa_099,0.8889,9,organic_chemistry
gpqa_117,0.8889,9,organic_chemistry
gpqa_106,0.8889,9,molecular_biology
gpqa_114,0.8889,9,physics_(general)
gpqa_131,0.8889,9,chemistry_(general)
gpqa_118,0.8889,9,organic_chemistry
gpqa_103,0.8889,9,physics_(general)
gpqa_073,0.8889,9,physics_(general)
gpqa_097,0.8889,9,organic_chemistry
gpqa_175,0.8889,9,quantum_mechanics
gpqa_098,0.8889,9,chemistry_(general)
gpqa_053,0.875,8,organic_chemistry
gpqa_110,0.875,8,organic_chemistry
gpqa_082,0.875,8,chemistry_(general)
gpqa_135,0.875,8,electromagnetism_and_photonics
gpqa_146,0.875,8,high-energy_particle_physics
gpqa_156,0.875,8,molecular_biology
gpqa_169,0.875,8,quantum_mechanics
gpqa_125,0.875,8,organic_chemistry
gpqa_018,0.875,8,organic_chemistry
gpqa_052,0.875,8,chemistry_(general)
gpqa_049,0.875,8,high-energy_particle_physics
gpqa_040,0.875,8,relativistic_mechanics
gpqa_010,0.8571,7,molecular_biology
gpqa_083,0.8571,7,physics_(general)
gpqa_180,0.8571,7,astrophysics
gpqa_100,0.7778,9,organic_chemistry
gpqa_080,0.7778,9,organic_chemistry
gpqa_094,0.7778,9,organic_chemistry
gpqa_028,0.7778,9,genetics
gpqa_054,0.7778,9,chemistry_(general)
gpqa_061,0.7778,9,organic_chemistry
gpqa_007,0.7778,9,genetics
gpqa_002,0.7778,9,quantum_mechanics
gpqa_000,0.7778,9,physics_(general)
gpqa_065,0.7778,9,high-energy_particle_physics
gpqa_019,0.7778,9,quantum_mechanics
gpqa_104,0.7778,9,astrophysics
gpqa_116,0.7778,9,organic_chemistry
gpqa_090,0.7778,9,organic_chemistry
gpqa_184,0.7778,9,quantum_mechanics
gpqa_170,0.7778,9,organic_chemistry
gpqa_119,0.7778,9,physics_(general)
gpqa_157,0.7778,9,genetics
gpqa_102,0.7778,9,organic_chemistry
gpqa_127,0.7778,9,molecular_biology
gpqa_129,0.7778,9,physics_(general)
gpqa_064,0.75,8,organic_chemistry
gpqa_168,0.75,8,quantum_mechanics
gpqa_013,0.6667,9,molecular_biology
gpqa_012,0.6667,9,organic_chemistry
gpqa_164,0.6667,9,chemistry_(general)
gpqa_101,0.625,8,molecular_biology
gpqa_113,0.625,8,organic_chemistry
gpqa_087,0.625,8,molecular_biology
gpqa_074,0.4444,9,molecular_biology
